Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format
Canon,EF 14mm f/2.8L II USM,2007,2099,645,93.98,78.74,2.8,14,0,0,0,Full-Frame
Canon,CN-E 14mm T3.1 L F,2013,5220,1200,93.98,118.364,3.1,14,0,0,1,Full-Frame
Canon,TS-E 17mm f/4L Tilt-Shift,2009,2149,820,106.68,88.9,4,17,0,0,0,Full-Frame
Canon,EF 20mm f/2.8 USM,1992,539,405,70.612,77.47,2.8,20,0,0,0,Full-Frame
Canon,EF 24mm f/2.8 IS USM,2012,599,281,55.626,68.326,2.8,24,0,1,0,Full-Frame
Canon,EF 24mm f/1.4L II USM,2008,1549,650,86.868,83.566,1.4,24,0,0,0,Full-Frame
Canon,TS-E 24mm f/3.5L II Tilt-Shift,2009,1899,780,106.934,88.392,3.5,24,0,0,0,Full-Frame
Canon,CN-E 24mm T1.5 L F,2013,5220,1200,101.6,118.364,1.5,24,0,0,1,Full-Frame
Canon,EF 28mm f/2.8 IS USM,2012,509,261,51.308,68.326,2.8,28,0,1,0,Full-Frame
Canon,EF 28mm f/1.8 USM,1995,549,310,55.88,68.326,1.8,28,0,0,0,Full-Frame
Canon,EF 35mm f/1.4L USM,1998,1099,580,86.36,78.74,1.4,35,0,0,0,Full-Frame
Canon,EF 35mm f/1.4L II USM,2015,1799,760,105.41,80.518,1.4,35,0,0,0,Full-Frame
Canon,EF 35mm f/2 IS USM,2012,599,335,62.484,77.978,2,35,0,1,0,Full-Frame
Canon,CN-E 35mm T1.5 L F,2013,4950,1100,101.6,118.364,1.5,35,0,0,1,Full-Frame
Canon,EF 40mm f/2.8 STM,2012,199,130,22.86,68.58,2.8,40,0,0,0,Full-Frame
Canon,TS-E 45mm f/2.8 Tilt-Shift,1991,1399,645,89.916,81.026,2.8,45,0,0,0,Full-Frame
Canon,EF 50mm f/1.8 STM,2015,125,162,40.64,68.58,1.8,50,0,0,0,Full-Frame
Canon,EF 50mm f/1.4 USM,1993,399,290,50.8,73.66,1.4,50,0,0,0,Full-Frame
Canon,EF 50mm f/1.2L USM,2006,1449,590,65.532,85.852,1.2,50,0,0,0,Full-Frame
Canon,CN-E 50mm T1.3 L F,2013,4950,1100,101.6,118.364,1.3,50,0,0,1,Full-Frame
Canon,EF-S 60mm f/2.8 Macro USM,2005,469,335,69.85,72.898,2.8,60,0,0,0,Full-Frame
Canon,EF 85mm f/1.8 USM,1992,419,425,71.374,74.93,1.8,85,0,0,0,Full-Frame
Canon,EF 85mm f/1.2L II USM,2006,1999,1025,83.82,91.44,1.2,85,0,0,0,Full-Frame
Canon,CN-E 85mm T1.3 L F,2013,4950,1300,101.6,118.364,1.3,85,0,0,1,Full-Frame
Canon,TS-E 90mm f/2.8 Tilt-Shift,1991,1399,565,88.9,73.66,2.8,90,0,0,0,Full-Frame
Canon,EF 100mm f/2 USM,1991,499,460,73.406,74.93,2,100,0,0,0,Full-Frame
Canon,EF 100mm f/2.8 Macro USM,2000,599,580,119.38,78.74,2.8,100,0,0,0,Full-Frame
Canon,EF 100mm f/2.8L Macro USM,2009,899,625,122.936,77.724,2.8,100,0,1,0,Full-Frame
Canon,EF 135mm f/2L USM,1996,999,750,111.76,81.28,2,135,0,0,0,Full-Frame
Canon,CN-E 135mm T2.2 L F,2013,4950,1400,115.57,118.364,2.2,135,0,0,1,Full-Frame
Canon,EF 180mm f/3.5L Macro USM,1996,1399,1090,186.69,82.55,3.5,180,0,0,0,Full-Frame
Canon,EF 200mm f/2.8L II USM,1996,749,765,137.16,83.82,2.8,200,0,0,0,Full-Frame
Canon,EF 200mm f/2L IS USM,2008,5699,2540,208.28,127,2,200,0,1,0,Full-Frame
Canon,EF 300mm f/4L IS USM,1997,1349,1190,220.98,88.9,4,300,0,1,0,Full-Frame
Canon,EF 300mm f/2.8L IS II USM,2011,6099,2350,248.92,127,2.8,300,0,1,0,Full-Frame
Canon,EF 400mm f/5.6L USM,1993,1249,1250,256.54,88.9,5.6,400,0,0,0,Full-Frame
Canon,EF 400mm f/2.8L IS II USM,2011,9999,3850,342.9,163.068,2.8,400,0,1,0,Full-Frame
Canon,EF 400mm f/4 DO IS II USM,2014,6899,2100,232.664,128.016,4,400,0,1,0,Full-Frame
Canon,EF 500mm f/4L IS II USM,2011,8999,3190,383.032,146.05,4,500,0,1,0,Full-Frame
Canon,EF 600mm f/4L IS II USM,2011,11490,3920,447.04,167.64,4,600,0,1,0,Full-Frame
Canon,EF 800mm f/5.6L IS USM,2008,12999,4500,459.74,162.56,5.6,800,0,1,0,Full-Frame
Canon,EF 11-24mm f/4L USM,2015,2999,1180,132.08,109.22,4,11-24,1,0,0,Full-Frame
Canon,EF 100-400mm f/4.5-5.6L IS USM,1998,1499,1360,189,92,5.6,100-400,1,1,0,Full-Frame
Canon,EF 100-400mm f/4.5-5.6L IS II USM,2014,2199,1590,193.04,93.98,5.6,100-400,1,1,0,Full-Frame
Canon,CN-E 15.5-47mm f/2.8 L SP,2012,23875,2190,220.98,111.76,2.8,15.5-47,1,0,1,Full-Frame
Canon,EF 16-35mm f/2.8L II USM,2007,1599,635,111.506,88.392,2.8,16-35,1,0,0,Full-Frame
Canon,EF 16-35mm f/4L IS USM,2014,1099,615,112.776,82.55,4,16-35,1,1,0,Full-Frame
Canon,EF 17-40mm f/4L USM,2003,799,475,96.774,83.566,4,17-40,1,0,0,Full-Frame
Canon,EF 200-400mm f/4L IS USM Extender 1.4x,2013,10999,3620,366.014,128.016,4,200-400,1,1,0,Full-Frame
Canon,EF 24-105mm f/4L IS USM,2005,999,670,106.68,83.82,4,24-70,1,1,0,Full-Frame
Canon,EF 24-70mm f/2.8L II USM,2012,1899,805,113.03,88.392,2.8,24-70,1,0,0,Full-Frame
Canon,EF 24-70mm f/4L IS USM,2012,999,600,92.964,83.312,4,24-70,1,1,0,Full-Frame
